rf_code;rf_type;rf_fabric;rf_design;rf_etat;rf_comment;rf_creadat;rf_majdate;rf_majsrc;rf_abddate;rf_abdsrc
RF033000000207;BP;OR033002100001;PBPO NG 12;A;;2018-06-25 00:00:00;;axione;;
RF033000000208;BP;OR033002100001;PBPO NG 24;A;;2018-06-25 00:00:00;;axione;;
RF033000000209;BP;OR033002100001;PBPO/C NG;A;;2018-06-25 00:00:00;;axione;;
RF033000000210;BP;OR033002100023;FIST GCO2;A;;2018-06-25 00:00:00;;axione;;
RF033000000211;BP;OR033002100023;TENIO;A;;2018-06-25 00:00:00;;axione;;
RF033000000212;BP;OR033002100023;FIST GCO2;A;;2018-06-25 00:00:00;;axione;;
RF033000000213;BP;OR033002100023;TENIO;A;;2018-06-25 00:00:00;;axione;;
RF033000000214;BP;OR033002100023;FIST GCO2-FR-6;A;;2018-06-25 00:00:00;;axione;;
RF033000000215;BP;OR033002100023;OFMC-I8-S48/24-FR08;A;;2018-06-25 00:00:00;;axione;;
RF033000000216;BP;OR033002100023;FIST-BD-2-FR05;A;;2018-06-25 00:00:00;;axione;;
RF033000000217;BP;OR033002100023;FIST-BD-X-FR05;A;;2018-06-25 00:00:00;;axione;;
RF033000000218;BP;OR033002100023;FIST-BD-X-FR05;A;;2018-06-25 00:00:00;;axione;;
RF033000000219;BP;OR033002100023;OFDC;A;;2018-06-25 00:00:00;;axione;;
RF033000000220;BP;OR033002100023;FIST-GCO2-FR6-HD-NV;A;;2018-06-25 00:00:00;;axione;;
RF033000000221;BP;OR033002100023;OFDC-B8;A;;2018-06-25 00:00:00;;axione;;
RF033000000222;BP;OR033002100023;FIST-GCO2-F;A;;2018-06-25 00:00:00;;axione;;
RF033000000223;BP;OR033002100023;IDB-32;A;;2018-06-25 00:00:00;;axione;;
RF033000000224;BP;OR033002100023;IFDB-M;A;;2018-06-25 00:00:00;;axione;;
RF033000000225;BP;OR033002100023;IFDB-L;A;;2018-06-25 00:00:00;;axione;;
RF033000000226;BP;OR033002100023;FIST-GCO2-BC8;A;;2018-06-25 00:00:00;;axione;;
RF033000000227;BP;OR033002100023;FIST-GCO2-BD8;A;;2018-06-25 00:00:00;;axione;;
RF033000000228;BP;OR033002100002;OUTDROP;A;;2018-06-25 00:00:00;;axione;;
RF033000000229;BP;OR033002100002;VERTHOR;A;;2018-06-25 00:00:00;;axione;;
RF033000000230;BP;OR033002100002;BlackBox 2L;A;;2018-06-25 00:00:00;;axione;;
RF033000000231;BP;OR033002100021;CMJ;A;;2018-06-25 00:00:00;;axione;;
RF033000000232;BP;OR033002100021;LMJ;A;;2018-06-25 00:00:00;;axione;;
RF033000000233;BP;OR033002100021;MMJ;A;;2018-06-25 00:00:00;;axione;;
RF033000000234;BP;OR033002100024;ELINE;A;;2018-06-25 00:00:00;;axione;;
RF033000000235;BP;OR033002100014;ACE-CL-ODC;A;;2018-06-25 00:00:00;;axione;;
RF033000000236;PT;OR033002100006;iBER-1635;A;;2018-06-25 00:00:00;;axione;;
RF033000000237;PT;OR033002100006;iBER-1650;A;;2018-06-25 00:00:00;;axione;;
RF033000000238;PT;OR033002100010;GRL007203A;A;;2018-06-25 00:00:00;;axione;;
RF033000000239;PT;OR033002100010;GRL010085A;A;;2018-06-25 00:00:00;;axione;;
RF033000000240;PT;OR033002100026;MODULO;A;;2018-06-25 00:00:00;;axione;;
RF033000000241;PT;OR033002100010;GRL007202A;A;;2018-06-25 00:00:00;;axione;;
RF033000000242;PT;OR033002100006;iBER-1670;A;;2018-06-25 00:00:00;;axione;;
RF033000000243;BA;OR033002100012;RIGA DOUBLE;A;;2018-06-25 00:00:00;;axione;;
RF033000000244;BA;OR033002100012;RIGA SIMPLE;A;;2018-06-25 00:00:00;;axione;;
RF033000000245;BA;OR033002100006;iBER-1635 Indoor;A;;2018-06-25 00:00:00;;axione;;
RF033000000246;TI;OR033002100001;PBPO/C NG;A;;2018-06-25 00:00:00;;axione;;
